Registration Group Number,Registration Group Name,Support Category Number,Support Category Name,Support Item Number,Support Item Name,Unit,Quote,"Price Limit:  NT - SA 
TAS-WA
(MMM 1-5)   ","Price Limit: ACT - NSW
QLD - VIC
(MMM 1-5)   ","Price Limit:  National
Non-Remote
(MMM 1-5)   ","Price Limit:  National Remote
(MMM 6)   ","Price Limit:  National Very Remote
(MMM 7)   "
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_162_0136_6_1,Group Activities In A Centre - 1:1 - Standard - Saturday,H,N,,,$78.33,$109.66,$117.50
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_162_0136_6_1_T,Group Activities In A Centre - 1:1 - Standard - Saturday - TTP,H,N,,,$82.90,$116.06,$124.35
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_163_0136_6_1,Group Activities In A Centre - 1:1 - Standard - Sunday,H,N,,,$100.21,$140.29,$150.32
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_163_0136_6_1_T,Group Activities In A Centre - 1:1 - Standard - Sunday - TTP,H,N,,,$106.09,$148.53,$159.14
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_164_0136_6_1,Group Activities In A Centre - 1:1 - Standard - Public Holiday,H,N,,,$122.09,$170.93,$183.14
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_164_0136_6_1_T,Group Activities In A Centre - 1:1 - Standard - Public Holiday - TTP,H,N,,,$129.29,$181.01,$193.94
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_165_0136_6_1,Group Activities In A Centre - 1:2 - Standard - Weekday Daytime,H,N,,,$32.56,$45.58,$48.84
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_165_0136_6_1_T,Group Activities In A Centre - 1:2 - Standard - Weekday Daytime - TTP,H,N,,,$34.38,$48.13,$51.57
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_166_0136_6_1,Group Activities In A Centre - 1:2 - Standard - Weekday Afternoon,H,N,,,$35.62,$49.87,$53.43
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_166_0136_6_1_T,Group Activities In A Centre - 1:2 - Standard - Weekday Afternoon - TTP,H,N,,,$37.63,$52.68,$56.45
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_167_0136_6_1,Group Activities In A Centre - 1:2 - Standard - Saturday,H,N,,,$44.81,$62.73,$67.22
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_167_0136_6_1_T,Group Activities In A Centre - 1:2 - Standard - Saturday - TTP,H,N,,,$47.37,$66.32,$71.06
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_168_0136_6_1,Group Activities In A Centre - 1:2 - Standard - Sunday,H,N,,,$57.06,$79.88,$85.59
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_168_0136_6_1_T,Group Activities In A Centre - 1:2 - Standard - Sunday - TTP,H,N,,,$60.36,$84.50,$90.54
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_169_0136_6_1,Group Activities In A Centre - 1:2 - Standard - Public Holiday,H,N,,,$69.32,$97.05,$103.98
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_169_0136_6_1_T,Group Activities In A Centre - 1:2 - Standard - Public Holiday - TTP,H,N,,,$73.35,$102.69,$110.03
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_170_0136_6_1,Group Activities In A Centre - 1:3 - Standard - Weekday Daytime,H,N,,,$24.59,$34.43,$36.89
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_170_0136_6_1_T,Group Activities In A Centre - 1:3 - Standard - Weekday Daytime - TTP,H,N,,,$25.94,$36.32,$38.91
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_171_0136_6_1,Group Activities In A Centre - 1:3 - Standard - Weekday Afternoon,H,N,,,$26.85,$37.59,$40.28
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_171_0136_6_1_T,Group Activities In A Centre - 1:3 - Standard - Weekday Afternoon - TTP,H,N,,,$28.34,$39.68,$42.51
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_172_0136_6_1,Group Activities In A Centre - 1:3 - Standard - Saturday,H,N,,,$33.64,$47.10,$50.46
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_172_0136_6_1_T,Group Activities In A Centre - 1:3 - Standard - Saturday - TTP,H,N,,,$35.53,$49.74,$53.30
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_173_0136_6_1,Group Activities In A Centre - 1:3 - Standard - Sunday,H,N,,,$42.68,$59.75,$64.02
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_173_0136_6_1_T,Group Activities In A Centre - 1:3 - Standard - Sunday - TTP,H,N,,,$45.11,$63.15,$67.67
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_174_0136_6_1,Group Activities In A Centre - 1:3 - Standard - Public Holiday,H,N,,,$51.73,$72.42,$77.60
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_174_0136_6_1_T,Group Activities In A Centre - 1:3 - Standard - Public Holiday - TTP,H,N,,,$54.70,$76.58,$82.05
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_175_0136_6_1,Group Activities In A Centre - 1:4 - Standard - Weekday Daytime,H,N,,,$20.61,$28.85,$30.92
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_175_0136_6_1_T,Group Activities In A Centre - 1:4 - Standard - Weekday Daytime - TTP,H,N,,,$21.72,$30.41,$32.58
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_176_0136_6_1,Group Activities In A Centre - 1:4 - Standard - Weekday Afternoon,H,N,,,$22.47,$31.46,$33.71
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_176_0136_6_1_T,Group Activities In A Centre - 1:4 - Standard - Weekday Afternoon - TTP,H,N,,,$23.69,$33.17,$35.54
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_177_0136_6_1,Group Activities In A Centre - 1:4 - Standard - Saturday,H,N,,,$28.05,$39.27,$42.08
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_177_0136_6_1_T,Group Activities In A Centre - 1:4 - Standard - Saturday - TTP,H,N,,,$29.61,$41.45,$44.42
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_178_0136_6_1,Group Activities In A Centre - 1:4 - Standard - Sunday,H,N,,,$35.49,$49.69,$53.24
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_178_0136_6_1_T,Group Activities In A Centre - 1:4 - Standard - Sunday - TTP,H,N,,,$37.49,$52.49,$56.24
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_179_0136_6_1,Group Activities In A Centre - 1:4 - Standard - Public Holiday,H,N,,,$42.93,$60.10,$64.40
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_179_0136_6_1_T,Group Activities In A Centre - 1:4 - Standard - Public Holiday - TTP,H,N,,,$45.38,$63.53,$68.07
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_180_0136_6_1,Group Activities In A Centre - 1:5 - Standard - Weekday Daytime,H,N,,,$18.22,$25.51,$27.33
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_180_0136_6_1_T,Group Activities In A Centre - 1:5 - Standard - Weekday Daytime - TTP,H,N,,,$19.19,$26.87,$28.79
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_181_0136_6_1,Group Activities In A Centre - 1:5 - Standard - Weekday Afternoon,H,N,,,$19.84,$27.78,$29.76
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_181_0136_6_1_T,Group Activities In A Centre - 1:5 - Standard - Weekday Afternoon - TTP,H,N,,,$20.90,$29.26,$31.35
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_182_0136_6_1,Group Activities In A Centre - 1:5 - Standard - Saturday,H,N,,,$24.70,$34.58,$37.05
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_182_0136_6_1_T,Group Activities In A Centre - 1:5 - Standard - Saturday - TTP,H,N,,,$26.05,$36.47,$39.08
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_183_0136_6_1,Group Activities In A Centre - 1:5 - Standard - Sunday,H,N,,,$31.18,$43.65,$46.77
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_183_0136_6_1_T,Group Activities In A Centre - 1:5 - Standard - Sunday - TTP,H,N,,,$32.92,$46.09,$49.38
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_184_0136_6_1,Group Activities In A Centre - 1:5 - Standard - Public Holiday,H,N,,,$37.65,$52.71,$56.48
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_184_0136_6_1_T,Group Activities In A Centre - 1:5 - Standard - Public Holiday - TTP,H,N,,,$39.78,$55.69,$59.67
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_185_0104_6_1,Group Activities In A Centre - 1:1 - Complex - Weekday Daytime,H,N,,,$60.83,$85.16,$91.25
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_185_0104_6_1_T,Group Activities In A Centre - 1:1 - Complex - Weekday Daytime - TTP,H,N,,,$64.09,$89.73,$96.14
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_186_0104_6_1,Group Activities In A Centre - 1:1 - Complex - Weekday Afternoon,H,N,,,$66.74,$93.44,$100.11
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_186_0104_6_1_T,Group Activities In A Centre - 1:1 - Complex - Weekday Afternoon - TTP,H,N,,,$70.33,$98.46,$105.50
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_187_0104_6_1,Group Activities In A Centre - 1:1 - Complex - Saturday,H,N,,,$84.47,$118.26,$126.71
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_187_0104_6_1_T,Group Activities In A Centre - 1:1 - Complex - Saturday - TTP,H,N,,,$89.04,$124.66,$133.56
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_188_0104_6_1,Group Activities In A Centre - 1:1 - Complex - Sunday,H,N,,,$108.11,$151.35,$162.17
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_188_0104_6_1_T,Group Activities In A Centre - 1:1 - Complex - Sunday - TTP,H,N,,,$113.99,$159.59,$170.99
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_189_0104_6_1,Group Activities In A Centre - 1:1 - Complex - Public Holiday,H,N,,,$131.76,$184.46,$197.64
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_189_0104_6_1_T,Group Activities In A Centre - 1:1 - Complex - Public Holiday - TTP,H,N,,,$138.96,$194.54,$208.44
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_190_0104_6_1,Group Activities In A Centre - 1:2 - Complex - Weekday Daytime,H,N,,,$35.01,$49.01,$52.52
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_190_0104_6_1_T,Group Activities In A Centre - 1:2 - Complex - Weekday Daytime - TTP,H,N,,,$36.84,$51.58,$55.26
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_191_0104_6_1,Group Activities In A Centre - 1:2 - Complex - Weekday Afternoon,H,N,,,$38.32,$53.65,$57.48
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_191_0104_6_1_T,Group Activities In A Centre - 1:2 - Complex - Weekday Afternoon - TTP,H,N,,,$40.33,$56.46,$60.50
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_192_0104_6_1,Group Activities In A Centre - 1:2 - Complex - Saturday,H,N,,,$48.25,$67.55,$72.38
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_192_0104_6_1_T,Group Activities In A Centre - 1:2 - Complex - Saturday - TTP,H,N,,,$50.81,$71.13,$76.22
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_193_0104_6_1,Group Activities In A Centre - 1:2 - Complex - Sunday,H,N,,,$61.49,$86.09,$92.24
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_193_0104_6_1_T,Group Activities In A Centre - 1:2 - Complex - Sunday - TTP,H,N,,,$64.78,$90.69,$97.17
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_194_0104_6_1,Group Activities In A Centre - 1:2 - Complex - Public Holiday,H,N,,,$74.73,$104.62,$112.10
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_194_0104_6_1_T,Group Activities In A Centre - 1:2 - Complex - Public Holiday - TTP,H,N,,,$78.76,$110.26,$118.14
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_195_0104_6_1,Group Activities In A Centre - 1:3 - Complex - Weekday Daytime,H,N,,,$26.40,$36.96,$39.60
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_195_0104_6_1_T,Group Activities In A Centre - 1:3 - Complex - Weekday Daytime - TTP,H,N,,,$27.75,$38.85,$41.63
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_196_0104_6_1,Group Activities In A Centre - 1:3 - Complex - Weekday Afternoon,H,N,,,$28.85,$40.39,$43.28
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_196_0104_6_1_T,Group Activities In A Centre - 1:3 - Complex - Weekday Afternoon - TTP,H,N,,,$30.33,$42.46,$45.50
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_197_0104_6_1,Group Activities In A Centre - 1:3 - Complex - Saturday,H,N,,,$36.18,$50.65,$54.27
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_197_0104_6_1_T,Group Activities In A Centre - 1:3 - Complex - Saturday - TTP,H,N,,,$38.06,$53.28,$57.09
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_198_0104_6_1,Group Activities In A Centre - 1:3 - Complex - Sunday,H,N,,,$45.95,$64.33,$68.93
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_198_0104_6_1_T,Group Activities In A Centre - 1:3 - Complex - Sunday - TTP,H,N,,,$48.38,$67.73,$72.57
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_199_0104_6_1,Group Activities In A Centre - 1:3 - Complex - Public Holiday,H,N,,,$55.72,$78.01,$83.58
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_199_0104_6_1_T,Group Activities In A Centre - 1:3 - Complex - Public Holiday - TTP,H,N,,,$58.70,$82.18,$88.05
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_200_0104_6_1,Group Activities In A Centre - 1:4 - Complex - Weekday Daytime,H,N,,,$22.10,$30.94,$33.15
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_200_0104_6_1_T,Group Activities In A Centre - 1:4 - Complex - Weekday Daytime - TTP,H,N,,,$23.21,$32.49,$34.82
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_201_0104_6_1,Group Activities In A Centre - 1:4 - Complex - Weekday Afternoon,H,N,,,$24.11,$33.75,$36.17
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_201_0104_6_1_T,Group Activities In A Centre - 1:4 - Complex - Weekday Afternoon - TTP,H,N,,,$25.33,$35.46,$38.00
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_202_0104_6_1,Group Activities In A Centre - 1:4 - Complex - Saturday,H,N,,,$30.14,$42.20,$45.21
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_202_0104_6_1_T,Group Activities In A Centre - 1:4 - Complex - Saturday - TTP,H,N,,,$31.69,$44.37,$47.54
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_203_0104_6_1,Group Activities In A Centre - 1:4 - Complex - Sunday,H,N,,,$38.18,$53.45,$57.27
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_203_0104_6_1_T,Group Activities In A Centre - 1:4 - Complex - Sunday - TTP,H,N,,,$40.18,$56.25,$60.27
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_204_0104_6_1,Group Activities In A Centre - 1:4 - Complex - Public Holiday,H,N,,,$46.22,$64.71,$69.33
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_204_0104_6_1_T,Group Activities In A Centre - 1:4 - Complex - Public Holiday - TTP,H,N,,,$48.67,$68.14,$73.01
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_205_0104_6_1,Group Activities In A Centre - 1:5 - Complex - Weekday Daytime,H,N,,,$19.52,$27.33,$29.28
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_205_0104_6_1_T,Group Activities In A Centre - 1:5 - Complex - Weekday Daytime - TTP,H,N,,,$20.48,$28.67,$30.72
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_206_0104_6_1,Group Activities In A Centre - 1:5 - Complex - Weekday Afternoon,H,N,,,$21.27,$29.78,$31.91
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_206_0104_6_1_T,Group Activities In A Centre - 1:5 - Complex - Weekday Afternoon - TTP,H,N,,,$22.33,$31.26,$33.50
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_207_0104_6_1,Group Activities In A Centre - 1:5 - Complex - Saturday,H,N,,,$26.52,$37.13,$39.78
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_207_0104_6_1_T,Group Activities In A Centre - 1:5 - Complex - Saturday - TTP,H,N,,,$27.87,$39.02,$41.81
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_208_0104_6_1,Group Activities In A Centre - 1:5 - Complex - Sunday,H,N,,,$33.51,$46.91,$50.27
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_208_0104_6_1_T,Group Activities In A Centre - 1:5 - Complex - Sunday - TTP,H,N,,,$35.25,$49.35,$52.88
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_209_0104_6_1,Group Activities In A Centre - 1:5 - Complex - Public Holiday,H,N,,,$40.51,$56.71,$60.77
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_209_0104_6_1_T,Group Activities In A Centre - 1:5 - Complex - Public Holiday - TTP,H,N,,,$42.65,$59.71,$63.98
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_210_0125_6_1,Community Social And Recreational Activities,E,N,,,,,
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_300_0104_1_1,Access Community Social And Rec Activities - Level 1 - Weekday Daytime,H,N,,,$54.30,$76.02,$81.45
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_300_0104_1_1_T,Access Community Social And Rec Activities - Level 1 - Weekday Daytime - TTP,H,N,,,$57.56,$80.58,$86.34
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_301_0104_1_1,Access Community Social And Rec Activities - Level 1 - Weekday Evening,H,N,,,$59.77,$83.68,$89.66
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_301_0104_1_1_T,Access Community Social And Rec Activities - Level 1 - Weekday Evening - TTP,H,N,,,$63.36,$88.70,$95.04
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_302_0104_1_1,Access Community Social And Rec Activities - Level 1 - Saturday,H,N,,,$76.18,$106.65,$114.27
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_302_0104_1_1_T,Access Community Social And Rec Activities - Level 1 - Saturday - TTP,H,N,,,$80.75,$113.05,$121.13
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_303_0104_1_1,Access Community Social And Rec Activities - Level 1 - Sunday,H,N,,,$98.06,$137.28,$147.09
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_303_0104_1_1_T,Access Community Social And Rec Activities - Level 1 - Sunday - TTP,H,N,,,$103.94,$145.52,$155.91
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_304_0104_1_1,Access Community Social And Rec Activities - Level 1 - Public Holiday,H,N,,,$119.94,$167.92,$179.91
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_304_0104_1_1_T,Access Community Social And Rec Activities - Level 1 - Public Holiday - TTP,H,N,,,$127.14,$178.00,$190.71
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_400_0104_1_1,Access Community Social And Rec Activities - Level 2 - Weekday Daytime,H,N,,,$58.68,$82.15,$88.02
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_400_0104_1_1_T,Access Community Social And Rec Activities - Level 2 - Weekday Daytime - TTP,H,N,,,$61.94,$86.72,$92.91
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_401_0104_1_1,Access Community Social And Rec Activities - Level 2 - Weekday Evening,H,N,,,$64.59,$90.43,$96.89
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_401_0104_1_1_T,Access Community Social And Rec Activities - Level 2 - Weekday Evening - TTP,H,N,,,$68.18,$95.45,$102.27
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_402_0104_1_1,Access Community Social And Rec Activities - Level 2 - Saturday,H,N,,,$82.32,$115.25,$123.48
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_402_0104_1_1_T,Access Community Social And Rec Activities - Level 2 - Saturday - TTP,H,N,,,$86.89,$121.65,$130.34
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_403_0104_1_1,Access Community Social And Rec Activities - Level 2 - Sunday,H,N,,,$105.96,$148.34,$158.94
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_403_0104_1_1_T,Access Community Social And Rec Activities - Level 2 - Sunday - TTP,H,N,,,$111.84,$156.58,$167.76
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_404_0104_1_1,Access Community Social And Rec Activities - Level 2 - Public Holiday,H,N,,,$129.61,$181.45,$194.42
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_404_0104_1_1_T,Access Community Social And Rec Activities - Level 2 - Public Holiday - TTP,H,N,,,$136.81,$191.53,$205.22
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_500_0104_1_1,Access Community Social And Rec Activities - Level 3 - Weekday Daytime,H,N,,,$61.76,$86.46,$92.64
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_500_0104_1_1_T,Access Community Social And Rec Activities - Level 3 - Weekday Daytime - TTP,H,N,,,$65.02,$91.03,$97.53
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_501_0104_1_1,Access Community Social And Rec Activities - Level 3 - Weekday Evening,H,N,,,$67.98,$95.17,$101.97
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_501_0104_1_1_T,Access Community Social And Rec Activities - Level 3 - Weekday Evening - TTP,H,N,,,$71.57,$100.20,$107.36
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_502_0104_1_1,Access Community Social And Rec Activities - Level 3 - Saturday,H,N,,,$86.65,$121.31,$129.98
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_502_0104_1_1_T,Access Community Social And Rec Activities - Level 3 - Saturday - TTP,H,N,,,$91.22,$127.71,$136.83
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_503_0104_1_1,Access Community Social And Rec Activities - Level 3 - Sunday,H,N,,,$111.53,$156.14,$167.30
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_503_0104_1_1_T,Access Community Social And Rec Activities - Level 3 - Sunday - TTP,H,N,,,$117.41,$164.37,$176.12
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_504_0104_1_1,Access Community Social And Rec Activities - Level 3 - Public Holiday,H,N,,,$136.41,$190.97,$204.62
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_504_0104_1_1_T,Access Community Social And Rec Activities - Level 3 - Public Holiday - TTP,H,N,,,$143.61,$201.05,$215.42
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_590_0125_6_1,Activity Based Transport,E,N,,,,,
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_591_0136_6_1,Activity Based Transport,E,N,,,,,
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_592_0104_6_1,Activity Based Transport,E,N,,,,,
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_599_0104_6_1,Centre Capital Cost,H,N,,,$2.15,$3.00,$3.22
133,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_599_0133_5_1,Centre Capital Cost,H,N,,,$2.15,$3.00,$3.22
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_599_0136_6_1,Centre Capital Cost,H,N,,,$2.15,$3.00,$3.22
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_600_0104_6_1,Group Activities - High Intensity - Weekday Daytime,H,N,,,$58.68,$82.15,$88.02
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_600_0104_6_1_T,Group Activities - High Intensity - Weekday Daytime - TTP,H,N,,,$61.94,$86.72,$92.91
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_601_0104_6_1,Group Activities - High Intensity - Weekday Evening,H,N,,,$64.59,$90.43,$96.89
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_601_0104_6_1_T,Group Activities - High Intensity - Weekday Evening - TTP,H,N,,,$68.18,$95.45,$102.27
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_602_0104_6_1,Group Activities - High Intensity - Saturday,H,N,,,$82.32,$115.25,$123.48
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_602_0104_6_1_T,Group Activities - High Intensity - Saturday - TTP,H,N,,,$86.89,$121.65,$130.34
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_603_0104_6_1,Group Activities - High Intensity - Sunday,H,N,,,$105.96,$148.34,$158.94
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_603_0104_6_1_T,Group Activities - High Intensity - Sunday - TTP,H,N,,,$111.84,$156.58,$167.76
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_604_0104_6_1,Group Activities - High Intensity - Public Holiday,H,N,,,$129.61,$181.45,$194.42
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_604_0104_6_1_T,Group Activities - High Intensity - Public Holiday - TTP,H,N,,,$136.81,$191.53,$205.22
104,High Intensity Daily Personal Activities,4,Assistance with social and community participation,04_799_0104_6_1,Provider travel - non-labour costs,E,N,,,,,
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_799_0125_6_1,Provider travel - non-labour costs,E,N,,,,,
133,Specialised Supported Employment,4,Assistance with social and community participation,04_799_0133_5_1,Provider travel - non-labour costs,E,N,,,,,
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_799_0136_6_1,Provider travel - non-labour costs,E,N,,,,,
133,Specialised Supported Employment,4,Assistance with social and community participation,04_801_0133_5_1,Supports in Employment - Weekday Daytime,H,N,,,$54.30,$76.02,$81.45
133,Specialised Supported Employment,4,Assistance with social and community participation,04_801_0133_5_1_T,Supports in Employment - Weekday Daytime - TTP,H,N,,,$57.56,$80.58,$86.34
133,Specialised Supported Employment,4,Assistance with social and community participation,04_802_0133_5_1,Supports In Employment - Weekday Evening,H,N,,,$59.77,$83.68,$89.66
133,Specialised Supported Employment,4,Assistance with social and community participation,04_802_0133_5_1_T,Supports In Employment - Weekday Evening - TTP,H,N,,,$63.36,$88.70,$95.04
133,Specialised Supported Employment,4,Assistance with social and community participation,04_803_0133_5_1,Supports In Employment - Saturday,H,N,,,$76.18,$106.65,$114.27
133,Specialised Supported Employment,4,Assistance with social and community participation,04_803_0133_5_1_T,Supports In Employment - Saturday - TTP,H,N,,,$80.75,$113.05,$121.13
133,Specialised Supported Employment,4,Assistance with social and community participation,04_804_0133_5_1,Supports In Employment - Sunday,H,N,,,$98.06,$137.28,$147.09
133,Specialised Supported Employment,4,Assistance with social and community participation,04_804_0133_5_1_T,Supports In Employment - Sunday - TTP,H,N,,,$103.94,$145.52,$155.91
133,Specialised Supported Employment,4,Assistance with social and community participation,04_805_0133_5_1,Supports In Employment - Public Holiday,H,N,,,$119.94,$167.92,$179.91
